   #time        bulkEdge        monoEdge    contactAngle   dropletHeight       avgRadius       avgDipole            MSDx            MSDy            MSDz          MSDavg       frameFlux          dMe_dt           nMono           chi2s
01300000       60.903780      128.415567        0.951942       10.556343       47.816768       -0.042327     7663.923851     4561.548538     6582.935066     6269.469152            -136        0.548791             787        0.000000
01310000       60.613087      129.817900        0.951999       10.505032       47.793571       -0.050223     7680.273852     4593.013599     6601.069254     6291.452235             105        0.280467             892        0.000000
01320000       56.971111      129.748974        0.941712       10.870765       47.700182       -0.039973     7702.172110     4648.827117     6589.449161     6313.482796             -57       -0.013785             835        0.000000
01330000       57.129084      130.453104        0.941636       10.904777       48.133105       -0.043998     7757.576794     4681.323753     6578.479739     6339.126762            -233        0.140826             602        0.000000
01340000       58.972144      131.019052        0.946451       10.781410       48.045939       -0.043394     7749.391446     4694.799232     6606.145343     6350.112007             238        0.113190             840        0.000000
01350000       60.117238      133.305274        0.951200       10.507284       48.462269       -0.044694     7762.240883     4700.272623     6597.219001     6353.244169            -156        0.457244             684        0.000000
01360000       60.566726      132.932883        0.950690       10.629556       48.873587       -0.043356     7802.148235     4716.045246     6606.957161     6375.050214             100       -0.074478             784        0.000000
01370000       60.628412      133.200020        0.954349       10.266198       48.770316       -0.040410     7805.957005     4732.939034     6632.700102     6390.532047             158        0.053427             942        0.000000
01380000       60.662878      131.592366        0.953966       10.311119       48.874085       -0.050033     7847.266694     4748.246302     6621.200382     6405.571126             -60       -0.321531             882        0.000000
01390000       62.410249      132.964698        0.958229       10.115054       49.146639       -0.044218     7875.891616     4776.806933     6635.889368     6429.529306              34        0.274466             916        0.000000
01400000       61.200573      134.135734        0.958935        9.860952       49.812851       -0.037940     7950.445496     4814.064333     6649.833874     6471.447901              60        0.234207             976        0.000000
01410000       60.739742      133.916834        0.957321        9.969141       49.712076       -0.048323     7992.575176     4840.816847     6648.823333     6494.071785             -35       -0.043780             941        0.000000
01420000       57.694254      132.547454        0.948592       10.370999       49.734390       -0.042065     8012.748455     4880.963968     6610.767467     6501.493297            -289       -0.273876             652        0.000000
01430000       54.024761      133.152053        0.941505       10.377377       50.029427       -0.047882     8073.270295     4915.308942     6651.477855     6546.685697             274        0.120920             926        0.000000
01440000       58.803099      133.928635        0.952786       10.143413       50.588739       -0.052728     8134.386845     4951.251479     6643.014875     6576.217733            -122        0.155316             804        0.000000
01450000       62.217072      134.979079        0.960528        9.828122       50.801947       -0.053148     8199.336181     4978.072750     6659.090296     6612.166409              42        0.210089             846        0.000000
01460000       59.683021      136.813403        0.955503       10.002980       50.787857       -0.045846     8224.873786     4988.682735     6665.080856     6626.212459              54        0.366865             900        0.000000
01470000       64.421603      134.367470        0.962626        9.889965       51.310728       -0.041365     8271.000564     5008.025670     6636.784179     6638.603471            -222       -0.489187             678        0.000000
01480000       60.976437      131.272858        0.959180        9.801615       51.532496       -0.055185     8319.322390     5035.528110     6669.970910     6674.940470             251       -0.618922             929        0.000000
01490000       58.295700      131.755918        0.954127        9.931786       51.448236       -0.050541     8355.041562     5058.414730     6694.505206     6702.653833              56        0.096612             985        0.000000
01500000       55.797717      133.022068        0.949441        9.985893       51.530441       -0.049719     8403.417237     5097.119493     6702.681281     6734.406004              11        0.253230             996        0.000000
01510000       57.695139      133.444343        0.954689        9.784153       51.878583       -0.047366     8467.880129     5141.078711     6712.628752     6773.862531             -12        0.084455             984        0.000000
01520000       55.118963      136.602692        0.944971       10.271312       51.754717       -0.055432     8511.541793     5172.493221     6680.406949     6788.147321            -135        0.631670             849        0.000000
01530000       57.607434      137.402041        0.950964       10.132930       52.269473       -0.056374     8571.960670     5196.005787     6710.469019     6826.145159              95        0.159870             944        0.000000
01540000       57.581960      137.762608        0.949487       10.268936       52.356438       -0.059650     8634.987516     5230.182962     6684.971443     6850.047307            -174        0.072113             770        0.000000
01550000       58.810867      138.319008        0.950643       10.355026       52.789294       -0.051666     8699.397015     5273.480383     6692.063014     6888.313471             -31        0.111280             739        0.000000
01560000       61.005041      138.371701        0.959573        9.762361       52.862900       -0.052488     8744.623572     5327.412043     6693.763251     6921.932955             -57        0.010539             682        0.000000
01570000       58.106272      138.799717        0.953912        9.924111       53.060101       -0.050601     8805.735792     5386.610256     6700.419102     6964.255050            -119        0.085603             563        0.000000
01580000       59.334674      139.390083        0.957533        9.739363       53.404969       -0.049054     8869.130029     5430.170673     6725.137018     7008.145907             332        0.118073             895        0.000000
01590000       65.112739      138.970410        0.968224        9.273246       53.946528       -0.059095     8944.825639     5484.620257     6740.707307     7056.717734              31       -0.083934             926        0.000000
01600000       66.835684      138.284628        0.969324        9.341569       54.342011       -0.053271     9020.744851     5544.013816     6739.528295     7101.428987             -39       -0.137156             887        0.000000
01610000       65.377038      139.614911        0.970378        9.015970       54.616576       -0.056241     9088.371783     5595.108410     6778.327652     7153.935949             147        0.266057            1034        0.000000
01620000       64.435879      139.561049        0.969672        8.995636       54.384735       -0.053847     9131.575846     5650.648639     6768.095818     7183.440101             -13       -0.010772            1021        0.000000
01630000       62.122824      141.783464        0.965975        9.172569       54.703689       -0.044906     9187.064808     5719.568279     6763.364917     7223.332668             -25        0.444483             996        0.000000
01640000       62.558130      142.855484        0.968103        8.964094       54.789154       -0.053313     9236.730829     5771.946375     6767.597275     7258.758160             -55        0.214404             941        0.000000
01650000       56.208174      142.557501        0.954995        9.528224       54.697277       -0.056477     9277.437265     5797.571886     6756.837404     7277.282185            -127       -0.059596             814        0.000000
01660000       59.992109      142.987755        0.962497        9.293244       55.141447       -0.064112     9343.045452     5814.664889     6752.913257     7303.541199             -66        0.086051             748        0.000000
01670000       58.416048      141.579863        0.963461        8.968923       55.367818       -0.050233     9415.821741     5838.043135     6778.068630     7343.977835             218       -0.281578             966        0.000000
01680000       53.916613      142.044272        0.952732        9.388505       55.133811       -0.055052     9456.813236     5871.183735     6779.711048     7369.236006             -22        0.092882             944        0.000000
01690000       51.903915      142.756902        0.944711        9.751716       55.094538       -0.053875     9493.289898     5903.266979     6761.028079     7385.861652             -89        0.142526             855        0.000000
01700000       51.754365      143.706462        0.945924        9.627507       55.198559       -0.058577     9545.926841     5934.621247     6781.992958     7420.847015             116        0.189912             971        0.000000
01710000       48.992657      145.123569        0.931946       10.195169       55.675365       -0.053540     9649.706720     5966.719697     6772.511789     7462.979402             -28        0.283421             943        0.000000
01720000       45.897937      146.373483        0.918254       10.474892       55.726171       -0.057282     9695.436222     5990.184962     6799.679905     7495.100363              80        0.249983            1023        0.000000
01730000       53.169842      144.598890        0.947036        9.769360       55.814138       -0.060626     9757.065531     6003.767258     6807.547230     7522.793340             -28       -0.354919             995        0.000000
01740000       50.482454      143.857831        0.940678        9.826130       56.089228       -0.054349     9829.588773     6021.154500     6786.673556     7545.805610             -94       -0.148212             901        0.000000
01750000       53.369987      142.390290        0.947355        9.775163       55.995175       -0.054089     9877.918652     6041.046654     6807.834219     7575.599842             130       -0.293508            1031        0.000000
01760000       53.471256      144.288154        0.945033        9.988904       56.094875       -0.059893     9952.372106     6063.232902     6748.158390     7587.921133            -495        0.379573             536        0.000000
01770000       51.368170      143.961853        0.936008       10.339030       56.005912       -0.055821    10020.283481     6081.557040     6727.621911     7609.820810            -143       -0.065260             393        0.000000
01780000       44.805501      144.969299        0.911064       10.665655       56.031321       -0.048840    10103.284032     6111.788384     6791.021590     7668.698002             471        0.201489             864        0.000000
01790000       42.234362      147.051728        0.894948       10.944202       56.212270       -0.053750    10180.617913     6141.602832     6793.409323     7705.210022              94        0.416486             958        0.000000
01800000       43.100391      147.553809        0.906575       10.540804       56.657889       -0.054892    10271.064671     6199.825236     6807.728857     7759.539588              54        0.100416            1012        0.000000
01810000       46.496709      150.597715        0.927786        9.999222       56.863302       -0.053245    10326.263705     6262.301763     6819.200454     7802.588641             -23        0.608781             989        0.000000
01820000       49.224421      150.907035        0.938481        9.769099       56.881346       -0.048319    10408.815047     6304.660201     6826.938455     7846.804567              27        0.061864            1016        0.000000
01830000       48.854788      149.503937        0.936288        9.862013       57.359868       -0.053792    10517.421445     6339.637752     6829.173948     7895.411048             -69       -0.280620             947        0.000000
01840000       52.554746      149.054149        0.950076        9.408968       57.386333       -0.062692    10589.414370     6371.390191     6864.370129     7941.724897             149       -0.089957            1096        0.000000
