#timest       avgRadius       avgDipole    monoExchange            MSDx            MSDy            MSDz          MSDavg 
00500000       49.909107       -0.011475        0.000000      563.879745      605.690598     1949.785432      1039.785258
00502000       49.853956       -0.012670        0.000000      563.398854      605.412404     1949.433981      1039.415080
00504000       49.829199       -0.011003        0.000000      564.014356      606.325036     1948.781042      1039.706811
00506000       49.820210       -0.011365        0.000000      563.532436      609.320763     1954.074353      1042.309184
00508000       49.846038       -0.011928        0.000000      565.204448      612.039720     1955.946982      1044.397050
00510000       49.888708       -0.012858       -1.000000      567.772022      613.972963     1955.777737      1045.840907
00512000       49.867444       -0.011440       -1.000000      567.094391      614.964944     1963.203141      1048.420825
00514000       49.890190       -0.011904       -1.000000      567.237169      616.985600     1966.962496      1050.395088
00516000       49.899385       -0.011948       -1.000000      569.060964      616.983792     1973.621758      1053.222171
00518000       49.929249       -0.011639       -1.000000      570.743355      618.285060     1976.051798      1055.026738
00520000       50.027512       -0.011373        0.000000      573.652530      620.799556     1977.394068      1057.282052
00522000       50.086327       -0.010678        0.000000      575.146454      624.449320     1982.433645      1060.676473
00524000       50.149033       -0.012152        0.000000      577.935670      626.851546     1988.636793      1064.474669
00526000       50.204879       -0.011817        0.000000      580.367996      627.904610     1991.523017      1066.598541
00528000       50.233544       -0.010187        0.000000      582.916120      627.922180     1992.759261      1067.865854
00530000       50.282676       -0.011952        0.000000      585.940930      627.748152     1992.436402      1068.708495
00532000       50.296646       -0.011221        0.000000      586.065563      628.211388     1991.516268      1068.597740
00534000       50.340881       -0.010533        0.000000      589.853711      629.569662     1994.383942      1071.269105
00536000       50.443311       -0.008889        0.000000      593.238324      631.972290     1994.183256      1073.131290
00538000       50.467308       -0.007852        0.000000      594.546990      633.857916     1994.329116      1074.244674
00540000       50.474689       -0.011052        0.000000      595.873208      635.762742     1990.794952      1074.143634
00542000       50.546970       -0.009835        0.000000      598.616512      636.975683     1991.494449      1075.695548
00544000       50.568191       -0.010504        0.000000      603.599731      636.324132     1994.626718      1078.183527
00546000       50.620917       -0.013846        0.000000      605.427462      640.005864     1997.027250      1080.820192
00548000       50.668015       -0.011482        0.000000      607.113420      642.751244     1997.291012      1082.385225
00550000       50.708633       -0.011534        0.000000      610.223481      643.651166     2002.469708      1085.448118
